3.3211650848,-0.1476300359,0.7299908996,0.0304532383,0.0304631942,-0.9658394360,0.2555362557,-0.5989452004,0.4199196100,0.0600947365,1.1640303135,-0.5092381239,-0.0171208084,-0.4076359868,-0.2865065634,-0.2980587780,1.1525679827,-0.3491549492,0.0509348661,0.0593757853,0.1097441614,0.5199999809,-0.4490902126,1.0907734632,-0.1376412213,0.2889170647,0.0629773140,-0.0017971789,0.1130409986,0.2701922357,-0.7942953706,0.0499340184,0.7510508299,-0.0048841224,0.1732984185,0.0005132941
3.3272478580,-0.1503943503,0.7137739062,0.0323787854,0.0228385870,-0.9610268497,0.2736008174,-0.6847788095,0.4299422503,0.0711109638,1.2961651087,-0.5315033197,-0.0194325782,-0.5347949266,-0.3440776169,-0.2304689139,1.3259663582,-0.3567131460,0.0643956363,-0.0315785147,0.0245550051,0.5199999809,-0.7834932804,1.1731426716,-0.4631466866,0.7193621993,-0.2322040498,-0.1968809962,0.1727117300,-0.0641436353,-0.8609826565,0.3645467758,1.1525949240,0.1807879061,-0.0653521121,0.1510538459
3.3233714104,-0.1524949968,0.7154309750,0.0269191513,0.0158329684,-0.9591906284,0.2810302737,-0.6718010902,0.4421206415,0.0969430134,1.3262999058,-0.4864975810,-0.0403823406,-0.5946446061,-0.3532401919,-0.1673616767,1.4196611643,-0.2855759859,0.0785521343,-0.0512207523,-0.0144567806,0.5199999809,-0.7503341436,1.1001501083,-0.4505663514,0.6966296434,-0.2259766906,-0.1972755492,0.2452387661,-0.0441872329,-0.7788393497,0.3459954560,1.1246801615,0.1963953078,-0.0710349530,0.1173873693
3.3215277195,-0.1576586515,0.7149137855,0.0161284470,0.0087814918,-0.9576736762,0.2872697137,-0.6349126101,0.4534039497,0.1337795705,1.3429988623,-0.4675922990,-0.0659962669,-0.6597344875,-0.3725599349,-0.0983548984,1.4693007469,-0.2387661785,0.0862985849,-0.0926423967,-0.0179051198,0.5199999809,-0.6664180756,0.9646354914,-0.4194686413,0.6442203522,-0.2063388079,-0.2011972964,0.2744270563,-0.0078868102,-0.7108029127,0.3314184248,1.0771621466,0.2133915871,-0.0821938515,0.0679987222
3.3195953369,-0.1632694602,0.7175848484,0.0090218195,0.0024011470,-0.9590006398,0.2832500913,-0.5770787597,0.4734017551,0.2024064213,1.3252583742,-0.4745375514,-0.0646018758,-0.7169983387,-0.4160834849,-0.0776684731,1.4268214703,-0.2244674414,0.0772127360,-0.1387470216,-0.0047811000,0.5199999809,-0.5874023438,0.8089458346,-0.3964812160,0.6415201426,-0.1871472597,-0.2005003095,0.2889302373,0.0040627657,-0.6494940519,0.3172340095,1.0263296366,0.2553124726,-0.1002180353,0.0234941486
3.3175127506,-0.1715644449,0.7156642079,0.0106867850,0.0004519355,-0.9602878742,0.2788060025,-0.5440744162,0.4755418599,0.2505806983,1.3049603701,-0.4817020595,-0.0745177567,-0.7567013502,-0.4191347361,-0.0614648685,1.3250932693,-0.1994192749,0.0932245553,-0.1888273358,0.0157313086,0.5199999809,-0.5417101979,0.6729536057,-0.3954544961,0.6860098839,-0.1896111816,-0.1965607405,0.2999170125,-0.0131547311,-0.6169990897,0.3102978468,0.9996878505,0.2966806889,-0.1124194562,0.0020718395
3.3115594387,-0.1817872971,0.7141823769,0.0116176790,-0.0034568568,-0.9642283810,0.2647955984,-0.4701997340,0.4460084736,0.3176408112,1.2550550699,-0.4961662889,-0.1014159545,-0.7670418620,-0.3783343136,-0.0540101528,1.0966333151,-0.1223372445,0.1597580612,-0.2426994741,0.0464214869,0.5199999809,-0.5120850801,0.4701400995,-0.4078391194,0.8526669741,-0.2284093797,-0.2009880245,0.3286479414,-0.0691304579,-0.5520825982,0.3155180812,0.9883834124,0.3789390326,-0.1429267824,-0.0695078522
3.3041226864,-0.1954442412,0.7044060230,0.0154092597,-0.0073082548,-0.9709085577,0.2388424515,-0.3827674389,0.4159211516,0.3498494923,1.2242023945,-0.5488446951,-0.1219322458,-0.7908694744,-0.3189966679,-0.0405405052,0.9143883586,-0.0810847506,0.2153410912,-0.3036948740,0.0691094622,0.5199999809,-0.5446200967,0.2880053222,-0.4783490598,1.0628508329,-0.2375064939,-0.1747817993,0.2836432159,-0.1594642103,-0.4934956729,0.3350920379,1.0202970505,0.4466716647,-0.1627924293,-0.1157197058
3.2962257862,-0.2086899877,0.6902203560,0.0109701676,-0.0105360847,-0.9753961403,0.2199341172,-0.3067554832,0.4134342372,0.3518019021,1.2607748508,-0.5964512825,-0.1254737228,-0.8159610033,-0.2728553414,-0.0039588683,0.8683518171,-0.0635397136,0.2433560491,-0.3569151163,0.0771279410,0.5199999809,-0.5614822507,0.1776036173,-0.5486194491,1.1779972315,-0.2182516158,-0.1465074569,0.2332036644,-0.2079988867,-0.4631850719,0.3365643620,1.0412238836,0.5214972496,-0.1807349175,-0.1172231063
3.2883243561,-0.2174721509,0.6722670794,-0.0042650146,-0.0164298546,-0.9837914731,0.1785110836,-0.1933309287,0.4340670705,0.3242166936,1.3634389639,-0.6462724805,-0.1019399390,-0.9074748158,-0.2078794837,0.0667076409,0.9856730700,-0.1086671799,0.2233237624,-0.4264075756,0.0934451893,0.5199999809,-0.5892398357,0.0614813194,-0.6501676440,1.2976050377,-0.1632400751,-0.0863328353,0.1351502091,-0.2870028317,-0.4201911092,0.3211618364,1.1243221760,0.5635703206,-0.1731959134,-0.1195011586
